,importances,indices,stdeviation,vocabulary
0,0.01656388436207088,111,0.0014861669954957704,good
1,0.015075383235423158,114,0.0014648056924793636,great
2,0.011077429167462492,96,0.0010841095274395254,food
3,0.011025036497374604,27,0.0011538194145912048,best
4,0.009959266869885906,187,0.001073741298958144,place
5,0.009703292553517668,61,0.0012477756458590765,delicious
6,0.008859172624225023,220,0.0008037747537222881,service
7,0.008301172597802808,173,0.0011552754909795312,ok
8,0.008152977853684504,4,0.001517381061746139,amazing
9,0.00782425486904171,152,0.0007528161188386919,love
10,0.007722029899876732,101,0.0007299984688182448,friendly
11,0.007318976793281748,142,0.0009179091279227015,like
12,0.007109533707198048,22,0.0010332542593078095,bad
13,0.007031082516076415,123,0.0018384192571555865,horrible
14,0.006841028497443174,186,0.0007559108805778326,pizza
15,0.006835882762091642,109,0.0006321187891339032,go
16,0.006701622875266941,106,0.0009394801301598298,get
17,0.006611818780716499,169,0.0009276293331449362,nice
18,0.006592994365239025,21,0.0009390341357120524,back
19,0.006494362642896871,264,0.0007934658668667508,time
20,0.0064627687083978124,176,0.0010482341285643435,one
21,0.006448367413900089,178,0.0008602967215520117,order
22,0.00644082287045786,163,0.0007533622038277712,mexican
23,0.0063665344424128556,296,0.0007767414113925795,would
24,0.006212597441079901,20,0.0007216807214611652,awesome
25,0.006107129270613865,210,0.0018354791613761686,rude
26,0.006100476475090083,144,0.000674655494631145,little
27,0.0059847322343254735,58,0.0007143624126231088,decent
28,0.005940825169462137,179,0.0007655384306233624,ordered
29,0.0058006110259910945,201,0.0009673309435963331,really
30,0.005764155833411425,89,0.0007593490923448253,favorite
31,0.0056957491953996235,166,0.0007705670932068389,never
32,0.005662262431855958,259,0.001437549478600985,terrible
33,0.005510949264059378,46,0.0006536419287514388,coffee
34,0.005447826151944528,41,0.0006705274624472573,chicken
35,0.0053850333521559,193,0.0006539272147166739,pretty
36,0.005384131929730886,3,0.0007414586123729731,always
37,0.00536869998967747,98,0.0006286844609125858,fresh
38,0.005205166773178086,165,0.0007296753348296728,much
39,0.005101672042793259,147,0.0007531472621097768,location
40,0.005090763693268729,239,0.0008167315577704644,staff
41,0.005082311982561906,32,0.0011811862882111263,bland
42,0.005073991347369232,257,0.0005901422108681346,tasty
43,0.00503694863777198,206,0.0005707396585917353,restaurant
44,0.005036926198068425,28,0.0007801413571142867,better
45,0.0050175664072675775,253,0.0005590929032384769,tacos
46,0.004899171155343387,82,0.0006039973646289547,excellent
47,0.004810870690323371,79,0.000695137617509018,ever
48,0.004768003165973205,154,0.0006627892466676482,lunch
49,0.004608733392307219,60,0.0006370308111190627,definitely
50,0.004603834297398371,78,0.0006986436740342509,even
51,0.004532896043851232,214,0.00067042810381437,salsa
52,0.0045301537607879225,171,0.0005758573603324865,nothing
53,0.004518081610852068,40,0.0005495378798730168,cheese
54,0.004516222633489346,274,0.0006720001379086864,try
55,0.0044993501587453156,268,0.0015486590774382969,told
56,0.004480255735215592,2,0.0007589415131898343,also
57,0.004476637739362713,112,0.0006879703892389521,got
58,0.004370330216583248,162,0.0007119225335041171,menu
59,0.004257043008137063,92,0.0005216264471543977,first
60,0.004206386815473621,215,0.0006291650787447401,sauce
61,0.004170906104771147,164,0.0010302862637441895,minutes
62,0.004155676913425399,73,0.000598884604827715,eat
63,0.004142892934691444,124,0.0006245407724077637,hot
64,0.0041318196529081825,42,0.0005267842052147623,chinese
65,0.004127152855899482,287,0.0006647985278088107,way
66,0.004127098994191911,48,0.0005441671034949186,come
67,0.004038494665469473,198,0.000579449759043982,quick
68,0.004018570836194691,208,0.000588475136726269,rice
69,0.0040153119628845765,110,0.0007069562139426786,going
70,0.004011639085552709,241,0.0006439124372742418,starbucks
71,0.003986887113162838,288,0.0006449068499642452,well
72,0.003929494523753652,184,0.0005573777046286192,people
73,0.003914556374111588,212,0.0009520678445943155,said
74,0.0039002290892471065,136,0.0005726750907168269,know
75,0.0038969845459807294,249,0.0004862015776773333,sure
76,0.0038881245468773496,229,0.0006377785521523057,small
77,0.003883599906011521,13,0.0013101262656178179,asked
78,0.003873468153161941,51,0.0005952237787366864,could
79,0.003854514221300281,194,0.0006462558346283804,price
80,0.003823871142587655,289,0.0005747773921802019,went
81,0.0038069840702535528,107,0.0005932941551159306,give
82,0.0038015267157016303,209,0.0005557955182670443,right
83,0.0037894958052215083,67,0.0005407333605930869,drink
84,0.0037820710210474946,88,0.0005460037590674075,fast
85,0.0037681473381501397,8,0.0005542876650490003,area
86,0.0037253645670161034,255,0.0006483757402313338,taste
87,0.0037173570847039233,228,0.00046433061230963604,slow
88,0.0037010970111848074,252,0.0005548457928630398,taco
89,0.0036853641471455297,18,0.0004717206925075229,average
90,0.0036846422990607143,254,0.0005750338406844611,take
91,0.003666688967850586,33,0.0005377857966327325,burrito
92,0.0036661370360050105,167,0.0005120061425248943,new
