,importances,indices,stdevation,vocabulary
0,0.017006188363911753,78,0.001427660321397385,good
1,0.015428545818679905,202,0.0014314188189804573,Useful
2,0.01508910663016915,66,0.0009588235488954237,food
3,0.014581368593987952,81,0.0010980525887438752,great
4,0.013378273990842347,132,0.0013550308106176786,place
5,0.011900263273560968,152,0.001190389919573979,second
6,0.011809037129434844,201,0.0010911521053879392,Cool
7,0.011418832329103045,200,0.001052572785311265,Funny
8,0.009359980016543102,131,0.0007178284113693879,pizza
9,0.009341229632529386,76,0.0008628587030485918,go
10,0.009270334777137918,16,0.0010817399421918412,beef
11,0.009086088058359735,181,0.0007897830177411601,think
12,0.008950966034276071,98,0.001651464193812683,like
13,0.008766183717899861,12,0.0010946128710779632,back
14,0.008699521643181773,74,0.0013525690607602947,get
15,0.008580059406721557,40,0.0007495436844166575,definitely
16,0.008559850280952713,123,0.0012423843583321858,one
17,0.008267075085331844,112,0.000865761065875067,mexican
18,0.008165528675125438,125,0.001157704950262469,order
19,0.007971901708488324,70,0.0010416206985813582,friendly
20,0.007914674153758324,118,0.0012354819312591569,nice
21,0.0076702173717107325,104,0.0009071411596205606,love
22,0.007495407686521322,27,0.0006771360533062597,cheese
23,0.007474514882367802,99,0.0010513370168803247,little
24,0.0072409136626953715,139,0.0013697845071030594,really
25,0.007215413546206401,198,0.0014166409107676998,would
26,0.007199186846116422,32,0.0007738362132534367,close
27,0.007113152719018706,143,0.0006557546923865902,restaurant
28,0.007029683199854606,13,0.0006701629329411961,bad
29,0.006773725885811338,121,0.0005652007236494386,ok
30,0.006753807044101907,126,0.0009302516972499261,ordered
31,0.006649629248022614,101,0.0008680851582194279,location
32,0.006583731121975078,4,0.0004893635461950128,amazing
33,0.00656102967458038,173,0.0006766589638249583,tacos
34,0.0064585169881383,114,0.0008955680962745533,much
35,0.006451285194714303,164,0.0010663135931233258,spicy
36,0.006445010296783897,28,0.0005814824579116655,chicken
37,0.0062333807389062185,68,0.0009074744936069619,fresh
38,0.006207138018891385,3,0.0013741164856573749,always
39,0.006014270965337116,115,0.0009468375158351162,never
40,0.0060054003251287895,2,0.0008359614641027314,also
41,0.005946036266992827,184,0.0008808143709573066,try
42,0.005843933433200002,26,0.0005910591999532762,cheap
43,0.0058290556812006815,105,0.0008996406983066147,lunch
44,0.005822039277682179,111,0.0007764865094891472,menu
45,0.0058157006947867915,62,0.0005618704328985183,first
46,0.005797203381581807,148,0.0006668170929835157,salad
47,0.005789216851496621,17,0.0012281979155331075,best
48,0.005746059348562052,90,0.0006782793758485307,hot
49,0.005701843330517901,11,0.000603358328379197,awesome
50,0.005664191036626923,60,0.0005811866422546096,favorite
51,0.005622367116747983,192,0.0005860921811655134,well
52,0.00557184963119744,79,0.0010263427660108103,got
53,0.005530239478681291,34,0.0006434096515481766,cold
54,0.005527509663737784,191,0.0006951809651087829,way
55,0.005465631584784539,133,0.0007778789435475571,pretty
56,0.005448396953498304,51,0.0010742349962564676,enough
57,0.005415316748494145,38,0.0005165488712458216,day
58,0.005401317442790188,49,0.0005919925202162954,dry
59,0.0053211337778329305,149,0.0008032887693288334,salsa
60,0.005317601392662757,145,0.000482587323616035,right
61,0.005314519605860254,176,0.0007181792714010042,tasty
62,0.005213526570018628,144,0.0007712144220299664,rice
63,0.005195368454928636,129,0.0006486048242656846,people
64,0.005135485558149705,89,0.000734682801324622,horrible
65,0.005132226797494568,169,0.0004793528447816289,sure
66,0.00504445506186316,116,0.000514748287003468,new
67,0.0050160057787035535,77,0.0010580062474476674,going
68,0.004977363785504461,5,0.0005750975183263943,area
69,0.004970354385983842,174,0.0007653940028268994,take
70,0.004945141675818644,158,0.000855965508157876,slow
71,0.004932693345127177,52,0.0009708712653560117,even
72,0.004928513913092199,165,0.0006416268286738154,staff
73,0.0049156398912870315,59,0.0005897070515126758,fast
74,0.004855600924620041,54,0.00062631805770511,everything
75,0.004849709142862325,39,0.0008613124902326163,decent
76,0.004848040900878385,21,0.00047881012035966026,black
77,0.004835241990926627,107,0.0005213624140176867,make
78,0.004826980016305733,136,0.000782416831052405,quick
79,0.0048240285404401026,134,0.0008932053723276433,price
80,0.004819926647520538,45,0.0005109073101367439,dish
81,0.004806445446325364,75,0.0008898300616990684,give
82,0.004762650909526409,36,0.0009809575373407352,cool
83,0.004751184011893949,146,0.0005922521504090343,rude
84,0.004723597928175393,108,0.0004882387220496345,many
85,0.004719495018022169,94,0.0008688021155076242,know
86,0.004678014763538704,120,0.0007231518959719842,nothing
87,0.004673536136952166,175,0.0006117892028488507,taste
88,0.0046356867723702545,193,0.0010067628114762367,went
89,0.004634697209503562,172,0.000545385401832338,taco
90,0.004615931525117849,117,0.0005910437188291807,next
91,0.004565988023236435,106,0.0004884141700830605,made
92,0.004544377528489112,189,0.0008675215711370931,want
93,0.004539573230149011,197,0.0004994267591787158,worth
94,0.004523310470118245,23,0.0009201875282919064,busy
95,0.004522662337299366,150,0.0007356795137747598,sauce
96,0.004521541800624237,186,0.000680520667943835,us
97,0.0045022464471084,168,0.0005901699894786532,super
98,0.004473324080367881,188,0.0005045590974691219,wait
99,0.004471597348482954,37,0.0004643315160950382,could
100,0.00444611404264985,9,0.0007097938771443087,authentic
101,0.0043955524335385875,96,0.0007419703212426148,last
102,0.004377967901072344,102,0.000525653286820931,long
103,0.004351000115944435,103,0.0006477185683502667,lot
104,0.004349490096565162,113,0.0005268748846397678,minutes
105,0.004329579310496856,53,0.0005804204882421845,ever
106,0.004326531796091289,185,0.0007600352348030168,two
107,0.004286684047050799,64,0.000719683620822958,flavor
108,0.004265771256365696,162,0.0006322910480662583,sour
109,0.004251738127608699,135,0.0004936384280344901,quality
110,0.004224406825271593,147,0.0005309795186658793,said
111,0.0042058431211612285,95,0.000653187759368842,large
112,0.004205420866269014,179,0.0005527155652073746,thin
113,0.004186134061527623,119,0.0005464468235566492,night
114,0.004148432091538344,85,0.0005728411244960258,happy
115,0.004131921938493224,46,0.0005007735716525402,drink
116,0.0041261722968372674,166,0.000944028479082421,starbucks
117,0.004123157429826975,177,0.0004516693068118979,tea
118,0.004084840248356182,183,0.00045457337326172367,top
119,0.004083540284727344,56,0.0005781251364002957,experience
120,0.004073090309159087,156,0.00047137493750047215,side
121,0.004045751681769718,180,0.0007855227802576036,thing
122,0.004034185072409568,47,0.00045134777520874984,drinks
123,0.00402771363649917,29,0.0006923686896816805,chinese
124,0.004018586751147455,18,0.0005465600488861467,better
125,0.003985603048167691,109,0.0005764664121004849,meal
126,0.003944190712274095,30,0.0005815078726877982,chips
127,0.003938206568426391,43,0.0005410836119900496,dinner
128,0.003920757617600001,67,0.0005180751742842241,free
129,0.003916738902544382,41,0.0004798124060552408,delicious
130,0.003908158693395523,155,0.0005209934552264138,shrimp
131,0.003888999471640931,42,0.0005150332860724177,different
132,0.0038885961277841073,6,0.0005504530497565377,around
133,0.0038734439709823525,159,0.0006683346321766893,small
134,0.0038375000777296346,25,0.0005918721151617481,carne
135,0.0038300624876301554,88,0.00042946882834349277,home
136,0.0037899027646649164,15,0.00044909256078961283,bean
137,0.0037690539902871037,14,0.0004486042274845376,bar
138,0.003768436548398434,19,0.0006542531106371963,big
139,0.00371444471527348,110,0.0005351817847549557,meat
140,0.0037098191821716723,22,0.00043835874451121014,burrito
141,0.0036517166604729855,69,0.0004635695256567127,fried
142,0.0036086237722625695,92,0.0005934473645439482,hungry
143,0.003589321314473466,10,0.00046913862373939886,average
144,0.0035743294890907846,171,0.0004876761051375095,table
145,0.0035626093489249657,187,0.0005144900733704532,vegas
146,0.003559837705856847,154,0.0003936161372936269,several
147,0.0035370919840339754,124,0.0004227231984295026,open
148,0.0035184675537029753,24,0.00041945132775880284,came
149,0.003461819381257751,157,0.00042596021379665027,since
150,0.0034130974948311963,122,0.00045898114821685206,old
151,0.0033938202171225782,199,0.0005299905755970625,wrong
152,0.003367214262026749,50,0.0005154734931674016,eat
153,0.003338097400942669,170,0.00048328858809717194,sweet
154,0.0033284784657950524,7,0.0003967504961377079,asada
155,0.003294047057105671,31,0.00043185157003281926,clean
156,0.003278417628989287,130,0.0005068086797033091,perfect
157,0.0032737318650098205,128,0.0004763614857478413,overall
158,0.0032680228074317293,0,0.0005566914439525595,10
159,0.003265136883140888,160,0.00040380445601303057,something
160,0.003233590370572273,138,0.0004031419048500589,real
161,0.003218477608729156,91,0.0005050680605098605,huge
162,0.003153494505514541,86,0.00040031623422609783,hard
163,0.0031099742384585027,71,0.0003862005874059689,full
164,0.003064632802867977,82,0.00037622511007592163,green
165,0.0030607034562710593,163,0.00047172701531199583,special
166,0.0030437269284621688,33,0.0004472955712234285,coffee
167,0.002985888535969898,182,0.00036815150107118275,time
168,0.002939864025425033,57,0.0003888489064707032,extra
169,0.002917867785365058,167,0.0004527778077095811,still
170,0.0029047598576311807,84,0.00042474974897166955,half
171,0.0028424565691049894,83,0.0003912854860193251,guacamole
172,0.0028215742535029945,44,0.0004153720774103474,disappointed
173,0.002821162048580977,87,0.0004875351124637936,high
174,0.0028172792832092696,127,0.00043257939279271274,outside
175,0.0027260139371975537,161,0.00037747867960674007,soup
176,0.0026777742770367373,100,0.00038076145909792875,local
177,0.0026773618771590503,80,0.0004035435904643348,greasy
178,0.0026400940815425058,63,0.00037626592915221684,fish
179,0.0026337403474801856,153,0.0003330803490657797,service
180,0.002613224993731741,58,0.00041893339430871005,fantastic
181,0.0025993406020336433,194,0.0003545722977701566,white
182,0.002561792819055156,35,0.0003538538054882783,come
183,0.0024530196422207365,142,0.0003544202329875971,regular
184,0.0024484938054966754,140,0.0003670840371830414,reasonable
185,0.002365085756828472,48,0.0003529617917700986,drive
186,0.0023619614297280484,97,0.0003526572566686993,late
187,0.002348214216166944,195,0.0003471342523032472,whole
188,0.002335713295432267,141,0.00033240311342735756,red
189,0.002290616581676328,61,0.00038611178443510874,fine
190,0.0022298629085785366,151,0.00037467462319773465,say
191,0.0022234028557823727,65,0.0003656280164179222,flavorful
192,0.0022190885795367924,137,0.0003453074762857213,ready
193,0.002145887980644015,196,0.00033788336914638526,wonderful
194,0.0021310641469917046,55,0.00039424470035559863,excellent
195,0.0021176028904412946,72,0.00032846802636063953,garlic
196,0.002032557614334775,8,0.0003309227485758375,attentive
197,0.0019932723280866485,73,0.0002994176336918825,general
198,0.001969898442609342,190,0.0003066012398610454,warm
199,0.001885134598535239,178,0.0003077728245050259,terrible
200,0.0018389658727857488,93,0.0003039009023265387,iced
201,0.0017686298260082658,20,0.00030862211312374734,bit
202,0.0017655583047528438,1,0.000292124307446276,able
