,importances,indices,stdevation,vocabulary
0,0.01237591722170208,255,0.00135999794059673,good
1,0.010973659920326333,258,0.0015178299747806686,great
2,0.010366725692064134,51,0.0019100044429624131,best
3,0.007940652531861202,142,0.001273769248679794,delicious
4,0.007348025898848489,19,0.0018258573490127293,amazing
5,0.007252490497496243,686,0.0029958347774567385,worst
6,0.006747707907745282,406,0.0012895560408411968,ok
7,0.006673342421279551,227,0.000401650341672949,food
8,0.0065163972871699226,702,0.00037356256327925443,Useful
9,0.005960570894613295,449,0.0004976649692123426,place
10,0.005921102210270561,344,0.0009354152293817236,love
11,0.005824344223461032,282,0.0019157150065928382,horrible
12,0.005330818166327848,535,0.00040897940601490596,service
13,0.005280799153855642,701,0.00032706716221006255,Cool
14,0.005153024743916655,42,0.0011449833069648765,bad
15,0.005145474880240924,137,0.0009079121081641411,decent
16,0.005058703199188795,235,0.0004660153312034483,friendly
17,0.004844565872354417,700,0.0002955205018218632,Funny
18,0.00459406559839744,607,0.001469000447079405,terrible
19,0.004497846364322559,447,0.00035149207499600074,pizza
20,0.004483239502005839,39,0.0006231165932186086,awesome
21,0.004422776101426837,326,0.00033999083809787477,like
22,0.004331390071146931,215,0.0007459561654162483,favorite
23,0.004260717156021191,688,0.000634929335544196,would
24,0.004141940087947431,394,0.0003056658310033804,nice
25,0.004134820925565846,253,0.00029420191969190413,go
26,0.004132463683565858,331,0.0002965761940073587,little
27,0.0041131721007377385,415,0.0006202996143519808,order
28,0.004112543499166474,504,0.0015581806689070278,rude
29,0.004081624811767402,620,0.00038637014792372213,time
30,0.0040421752443409965,416,0.000811538720670823,ordered
31,0.00400685526145913,57,0.0009984079519352522,bland
32,0.003988482056367376,41,0.00038091205153121296,back
33,0.003987985415220171,391,0.0007914151748007537,never
34,0.003964281026472849,247,0.00048512738055705496,get
35,0.0038325568679892013,409,0.0003869165463675366,one
36,0.0038075153857811306,467,0.000572470465311134,pretty
37,0.0037001288662407116,367,0.000343526237565039,mexican
38,0.0035338250908215113,485,0.00038736910168057074,really
